City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
304,Kushima,JP,76.12,overcast clouds,31.4583,131.2333,Hanaoka
305,Hofn,IS,47.91,overcast clouds,64.2539,-15.2082,Hótel Höfn
306,La Sarre,CA,66.13,overcast clouds,48.8002,-79.1996,Motel Villa Mon Repos
307,Asyut,EG,77.18,clear sky,27.181,31.1837,Florence Hotel Assiut
308,Wanning,CN,77.97,overcast clouds,18.8003,110.3967,Paradise Hotel
309,Soure,BR,79.77,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
310,Nola,IT,66.06,broken clouds,40.922,14.5329,Villa Minieri Eventi
311,Pochutla,MX,87.62,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
312,Roanoke Rapids,US,69.49,overcast clouds,36.4615,-77.6542,Hampton Inn Roanoke Rapids
313,Kjollefjord,NO,38.52,overcast clouds,70.9457,27.3465,Hotel Nordkyn
314,Cabra,ES,74.25,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
315,Balykshi,KZ,35.6,clear sky,47.0667,51.8667,Гостиница Golden Rose
316,Guerrero Negro,MX,75.67,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
317,Ixtapa,MX,90.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
318,Zhigansk,RU,33.19,snow,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
319,La Paz,BO,60.78,broken clouds,-16.5,-68.15,Hotel Sagarnaga
320,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
321,Salalah,OM,82.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
323,Saint-Gaudens,FR,60.13,broken clouds,43.0833,0.6667,L'Ardiégeoise
324,Fereydun Kenar,IR,61.9,overcast clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
327,Imeni Poliny Osipenko,RU,37.4,overcast clouds,52.4201,136.4853,Yubileynaya
339,Mantua,IT,60.04,broken clouds,45.1667,10.7833,Hotel la Favorita
340,Kashi,CN,49.21,dust,39.4547,75.9797,帕米尔青年旅舍
510,Banfora,BF,80.73,few clouds,10.6333,-4.7667,Residences David Hebié
527,Chapais,CA,65.98,broken clouds,49.7834,-74.8492,Hôtel Opémiska
